Department English,Department French,URLs
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/06/le-canada-et-terre-neuve-et-labrador-investissent-dans-ledification-de-collectivites-plus-sures-dans-la-peninsule-great-northern.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/07/le-canada-et-terre-neuve-et-labrador-investissent-dans-des-infrastructures-liees-a-leau-et-aux-loisirs-pour-des-collectivites-plus-saines.html
Communications Branch,,http://www.dfo-mpo.gc.ca/fisheries-peches/covid-notices-avis-eng.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/06/document-dinformation--allocations-20202021-du-fonds-de-la-taxe-sur-lessence-federal-a-la-nouvelle-ecosse.html
"",Division E,http://ihit.rcmp-grc.gc.ca/viewpage.action?contentid=63744&languageid=4&sitenodeid=2087
"",Conseil national de recherches Canada,https://nrc.canada.ca/index.php/fr/recherche-developpement/recherche-collaboration/programmes/expression-dinteret-collaborer-programme-defi
Public Safety Canada,,https://www.canada.ca/en/public-safety-canada/campaigns/covid19.html
Public Services and Procurement Canada,,https://www.canada.ca/en/public-services-procurement/services/escr.html
"",Services publics et Approvisionnement Canada,https://www.canada.ca/fr/services-publics-approvisionnement/nouvelles/2020/05/le-gouvernement-du-canada-met-sur-pied-le-conseil-sur-lapprovisionnement-lie-a-la-covid-19-pour-appuyer-la-lutte-et-le-redressement-du-canada-face-.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/07/avis-aux-medias---ville-de-barrie-ontario.html
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/07/canada-and-prince-edward-island-invest-in-the-pownal-sports-centre-ahead-of-the-2023-canada-winter-games.html
"",Ministère de la Justice Canada,https://www.canada.ca/fr/ministere-justice/nouvelles/2020/05/le-juge-en-chef-du-canada-et-le-ministre-de-la-justice-lancent-le-comite-daction-sur-ladministration-des-tribunaux-en-reponse-a-la-covid-19.html
Government of Canada; Indigenous Services Canada,,https://www.sac-isc.gc.ca/eng/1581964230816/1581964277298
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/07/backgrounder-canada-and-british-columbia-invest-in-infrastructure-in-the-vancouver-island-region-to-create-jobs-and-strengthen-communities.html
"",Développement économique Canada pour les régions du Québec,https://www.canada.ca/fr/developpement-economique-regions-quebec/nouvelles/2020/06/covid-19--le-fonds-canadien-pour-la-stabilisation-des-produits-de-la-mer-lance-le-22-juin-2020-dans-les-regions-du-quebec.html
"",Conseil national de recherches Canada,https://nrc.canada.ca/fr
Employment and Social Development Canada,N/A,www.canada.ca/en/services/benefits/ei
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/06/le-canada-et-terre-neuve-et-labrador-investissent-dans-lagrandissement-dun-complexe-recreatif-pour-appuyer-les-residents-de-deer-lake.html
"",Pêches et Océans Canada,https://www.canada.ca/fr/peches-oceans/nouvelles/2020/06/declaration-de-la-ministre-des-peches-des-oceans-et-de-la-garde-cotiere-canadienne-sur-la-journee-mondiale-des-oceans.html
"",Division E,http://burnaby.rcmp-grc.gc.ca/viewpage.action?contentid=63744&languageid=4&sitenodeid=2087
"",Santé Canada,https://www.canadiensensante.gc.ca/recall-alert-rappel-avis/hc-sc/2020/72889a-fra.php
"",Agriculture et Agroalimentaire Canada,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2020/06/le-canada-et-lontario-soutiennent-les-eleveurs-de-bufs-et-de-porcs-durant-la-covid-19.html
"",Bureau de la concurrence Canada,https://www.canada.ca/fr/bureau-concurrence/nouvelles/2020/03/declaration-du-commissaire-de-la-concurrence-a-propos-de-lapplication-de-la-loi-pendant-la-situation-causee-par-la-covid-19.html
Office of the Chief Military Judge,,https://www.canada.ca/en/chief-military-judge.html
"",Direction générale des communications,http://www.dfo-mpo.gc.ca/index-fra.htm
Health Canada,,https://www.canada.ca/en/services/health/employees-hc-phac/messages/ombudsman-potential-challenges-workplace-relationships-covid-19.html
Agriculture and Agri-Food Canada,,https://www.canada.ca/en/agriculture-agri-food/news/2020/07/governments-of-canada-and-manitoba-announce-new-program-to-help-agri-processors-mitigate-the-spread-of-covid-19.html
Fisheries and Oceans Canada,,http://www.dfo-mpo.gc.ca/science/regions/maritimes/index-eng.html
E Division,,http://burnaby.rcmp-grc.gc.ca/viewpage.action?contentid=63712&languageid=1&sitenodeid=2087
"",Agriculture et Agroalimentaire Canada,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2020/07/les-gouvernements-annoncent-une-aide-pour-la-securite-alimentaire-du-nord-du-manitoba.html
N/A,Santé Canada,www.canada.ca/fr/sante-canada.html
"",Emploi et Développement social Canada,https://www.canada.ca/fr/services/prestations/pensionspubliques
Agriculture and Agri-Food Canada,,https://www.canada.ca/en/agriculture-agri-food/news/2020/06/minister-of-agriculture-and-agri-food-to-announce-next-steps-in-supporting-food-security-in-canada.html
Environnement et Changement climatique Canada,N/A,https://www.canada.ca/fr/environnement-changement-climatique
Agriculture and Agri-Food Canada,,https://www.canada.ca/en/agriculture-agri-food/news/2020/06/maintaining-and-strengthening-canadas-food-production-and-processing-sector.html
Environment and Climate Change Canada,N/A,www.canada.ca/en/environment-climate-change
"",Développement économique Canada pour les régions du Québec,https://www.canada.ca/fr/developpement-economique-regions-quebec/nouvelles/2020/06/document-d-information-investissements-tourisme-regions-quebec-covid19.html
Outreach and E-Communications Division,,https://www.tradecommissioner.gc.ca/cta-atc/san_francisco.aspx?lang=eng
Correctional Service Canada,,https://www.canada.ca/en/correctional-service/news/2020/04/lockdown-at-mission-institution--medium-security-unit.html
Federal Economic Development Agency for Southern Ontario,,https://www.canada.ca/en/economic-development-southern-ontario/news/2020/07/molded-precision-components-aids-in-canadas-covid-19-response-while-supporting-youth-employment-in-oro-medonte.html
"",Services aux Autochtones Canada,https://www.canada.ca/fr/services-autochtones-canada/nouvelles/2020/05/seance-dinformation-technique-sur-la-covid-19-dans-les-communautes-autochtones.html
Communications Branch,,http://www.pac.dfo-mpo.gc.ca/fm-gp/commercial/ground-fond/halibut-fletan/presentation-eng.html
"",Service des délégués commerciaux du Canada,https://www.deleguescommerciaux.gc.ca/colombia-colombie/events-evenements/0010159.aspx?lang=fra
E Division,,http://vernon.rcmp-grc.gc.ca/viewpage.action?contentid=63720&languageid=1&sitenodeid=2081
Transport Canada,,https://www.canada.ca/en/transport-canada/news/2020/06/temperature-screening-to-be-required-for-travellers-at-canadian-airports.html
"",Santé Canada,https://www.canadiensensante.gc.ca/recall-alert-rappel-avis/hc-sc/2020/73493a-fra.php
N/A,Agence Parcs Canada,www.pc.gc.ca/fr
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/06/backgrounder-canada-and-ontario-invest-in-public-transit-infrastructure-for-peterborough-residents.html
"",Division E,http://ridgemeadows.rcmp-grc.gc.ca/viewpage.action?contentid=63744&languageid=4&sitenodeid=2087
"",Division E,http://vernon.rcmp-grc.gc.ca/viewpage.action?contentid=63720&languageid=4&sitenodeid=2081
E Division,,http://vernon.rcmp-grc.gc.ca/viewpage.action?contentid=63720&languageid=1&sitenodeid=2087
"",Division E,http://vernon.rcmp-grc.gc.ca/viewpage.action?contentid=63720&languageid=4&sitenodeid=2087
"",Services aux Autochtones Canada,https://www.canada.ca/fr/services-autochtones-canada/nouvelles/2020/07/mise-a-jour-sur-la-covid-19-dans-les-communautes-autochtones.html
"",Commission canadienne de sûreté nucléaire,https://www.canada.ca/fr/commission-surete-nucleaire/nouvelles/2020/06/la-reponse-de-lorganisme-de-reglementation-nucleaire-a-la-pandemie-de-covid-19-permettra-de-renforcer-la-surete-nucleaire-a-lechelle-mondiale.html
"",Services aux Autochtones Canada,https://www.canada.ca/fr/services-autochtones-canada/nouvelles/2020/05/le-gouvernement-du-canada-le-meadow-lake-tribal-council-et-la-metis-nationsaskatchewan-annoncent-un-soutien-durgence-en-reponse-a-covid-19-dans-le-.html
E Division,,http://ridgemeadows.rcmp-grc.gc.ca/viewpage.action?contentid=63712&languageid=1&sitenodeid=2087
"",Pêches et Océans Canada,https://www.canada.ca/fr/peches-oceans/nouvelles/2020/06/le-gouvernement-du-canada-et-ses-partenaires-provinciaux-et-territoriaux-relancent-le-fonds-canadien-dinitiatives-en-matiere-de-poissons-et-de-frui.html
Canada Border Services Agency,,https://www.canada.ca/en/border-services-agency/news/2020/06/travel-advisory-covid-19-border-measures-for-campobello-island.html
"",Femmes et Égalité des genres Canada,https://www.canada.ca/fr/condition-feminine/nouvelles/2020/07/femmes-et-filles-autochtones-disparues-et-assassinees-le-gouvernement-du-canada-annonce-son-soutien-aux-initiatives-de-commemoration-au-nunavik.html
Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en g√©nie du Canada,www.nserc-crsng.gc.ca
